make,model,trim,count
AMC,Comanche,Base 2WD,1
Acura,CL,Type S,34
Acura,Convertible,Targa,1
Acura,Coupe,Coupe,2
Acura,Escape,SEDAN,1
Acura,GS,GS,1
Acura,GS,SEDAN,1
Acura,ILX,Premium,1049
Acura,Integra,LS,11
Acura,LS,LS,4
Acura,Legend,Leather,3
Acura,MDX,Technology Package,4395
Acura,NSX,Base,67
Acura,RDX,Technology Package,2462
Acura,RL,Base,166
Acura,RLX,Technology Package,141
Acura,RSX,Base,65
Acura,SLX,Base,3
Acura,TL,Base,1170
Acura,TLX,Technology Package,1766
Acura,TSX,Base,886
Acura,Vigor,GS,1
Acura,ZDX,Technology Package,30
Alfa Romeo,164,LS,1
Alfa Romeo,164,Speed,1
Alfa Romeo,4C,Base,31
Alfa Romeo,900,Spider,1
Alfa Romeo,Convertible,Spider,9
Alfa Romeo,Giulia,Ti,563
Alfa Romeo,Gtv-6,Base,1
Alfa Romeo,M,4,1
Alfa Romeo,Roadster,Spider,2
Alfa Romeo,Spider,Veloce Convertible,4
Alfa Romeo,Spyder,Spider,1
Alfa Romeo,Stelvio,Ti,514
Am General,Altima,SE,1
Am General,H1,4-Door,4
Am General,Hummer,Base,35
Am General,LX,MV,1
Aston Martin,Convertible,Speed,1
Aston Martin,Coupe,V8,2
Aston Martin,DB11,Base,128
Aston Martin,DB7,Base,14
Aston Martin,DB9,Base,82
Aston Martin,DBS,Base,25
Aston Martin,DBS Superleggera,Base,17
Aston Martin,DBX,Base,76
Aston Martin,Rapide,S,30
Aston Martin,V12 Vantage,S,18
Aston Martin,V8 Vantage,Base,75
Aston Martin,V8 Vantage Roadster,Base,1
Aston Martin,V8 Vantage Roadster SPORTSHIFT,Base,17
Aston Martin,V8 Vantage SPORTSHIFT,Base,11
Aston Martin,Vanquish,Base,44
Aston Martin,Vantage,Base,155
Aston Martin,Virage,Base,9
Audi,100,SEDAN,1
Audi,200,SEDAN,1
Audi,90,CS quattro,1
Audi,90,Quattro,1
Audi,90,S,1
Audi,A3,Premium,173
Audi,A3 Cabriolet,Premium,142
Audi,A3 Sedan,Premium,1964
Audi,A3 Sportback e-tron,Premium,87
Audi,A4,Premium,3489
Audi,A4 allroad,Premium Plus,8
Audi,A5,Premium,905
Audi,A5 Cabriolet,Premium Plus,392
Audi,A5 Coupe,Premium Plus,358
Audi,A5 Sportback,Premium Plus,784
Audi,A6,Premium Plus,1426
Audi,A6 Allroad,Premium Plus,7
Audi,A7,Premium Plus,449
Audi,A8,Base,970
Audi,Allroad Quattro,Base,4
Audi,Allroad quattro,Base,23
Audi,Cabriolet,Base,4
Audi,Convertible,Base,1
Audi,Convertible,Premium Plus,1
Audi,Coupe,QUATTRO,3
Audi,GT,GT,1
Audi,Q3,Premium,744
Audi,Q5,Premium Plus,4574
Audi,Q5 Sportback,Premium Plus,21
Audi,Q7,Premium Plus,2096
Audi,Q8,Premium Plus,398
Audi,R8,Base,494
Audi,RS 3,Base,168
Audi,RS 5,Base,163
Audi,RS 5 Cabriolet,Base,2
Audi,RS 5 Coupe,Base,75
Audi,RS 5 Sportback,Base,186
Audi,RS 6 Avant,Base,61
Audi,RS 7,Base,136
Audi,RS Q8,Base,72
Audi,RS e-tron GT,Base,15
Audi,RS4,Base,24
Audi,RS6,Base,27
Audi,RS7,Prestige,4
Audi,S3,Premium Plus,384
Audi,S4,Premium Plus,785
Audi,S5,Premium Plus,432
Audi,S5 Cabriolet,Premium Plus,131
Audi,S5 Coupe,Premium Plus,157
Audi,S5 Sportback,Premium Plus,341
Audi,S6,Prestige,164
Audi,S7,Prestige,106
Audi,S8,Base,145
Audi,SQ5,Premium Plus,949
Audi,SQ5 Sportback,Premium Plus,10
Audi,SQ7,Premium Plus,45
Audi,SQ8,Prestige,34
Audi,Spyder,V8,1
Audi,TT,Base,272
Audi,TT Coupe,Base,98
Audi,TT RS,Base,69
Audi,TT Roadster,Base,44
Audi,TTS,Premium Plus,39
Audi,TTS Coupe,Base,64
Audi,allroad,Premium,189
Audi,e-tron,Prestige,297
Audi,e-tron GT,Prestige,15
Audi,e-tron Sportback,Premium Plus,31
BMW,1 Series,128i,446
BMW,2 Series,228i,978
BMW,3 Series,328i,5738
BMW,3-Series,318is,1
BMW,3-Series,323I,1
BMW,3-Series,323i,1
BMW,3-Series,325i,1
BMW,3-Series,325ic,1
BMW,4 Series,430i,2661
BMW,5 Series,530i,2542
BMW,5-Series,528e Automatic,1
BMW,5-Series,M5,1
BMW,500,3,1
BMW,6 Series,650i,913
BMW,6 Series Convertible,650i,44
BMW,6 Series Coupe,650i,15
BMW,6 Series Gran Coupe,640i,88
BMW,6 Series Gran Turismo,640i,179
BMW,6-Series,6-Series,1
BMW,6-Series,633CSI Automatic,1
BMW,6-Series,635 Csi,1
BMW,6-Series,M6,1
BMW,7 Series,750i,1608
BMW,7-Series,750i xDrive,1
BMW,8 Series,M850i,256
BMW,850,i,1
BMW,900,XR,3
BMW,ALPINA B6 Gran Coupe,Base,7
BMW,Accord,SEDAN,1
BMW,CC,1,1
BMW,Cabriolet,3,2
BMW,Convertible,M3,8
BMW,Coupe,M3,12
BMW,F-150,325i,1
BMW,GS,Adventure,5
BMW,GT,C,1
BMW,GT,F,1
BMW,GT,GT,1
BMW,I3,Base,172
BMW,I8,Base,4
BMW,IS,3,1
BMW,IS,Base,1
BMW,IS,SEDAN,1
BMW,K1200S,Sport Touring,1
BMW,M,M3,63
BMW,M Series,M3,127
BMW,M2 Coupe,Base,352
BMW,M3,M3,6
BMW,M3 Sedan,Base,743
BMW,M4 Convertible,Base,325
BMW,M4 Coupe,Base,902
BMW,M5,Base,440
BMW,M5 Sedan,Base,57
BMW,M6,Base,1
BMW,M6,M6,1
BMW,M6 Convertible,Base,37
BMW,M6 Coupe,Base,32
BMW,M6 Gran Coupe,Base,74
BMW,M8 Convertible,Base,1
BMW,M8 Convertible,M8,1
BMW,M8 Coupe,Base,14
BMW,M8 Gran Coupe,Base,23
BMW,Roadster,3,3
BMW,X1,28i,4473
BMW,X2,28i,1742
BMW,X2 M,35i,19
BMW,X3,30i,3102
BMW,X3 M,Base,272
BMW,X4,30i,344
BMW,X4 M,Base,80
BMW,X5,xDrive35i,3043
BMW,X5 M,Base,260
BMW,X6,xDrive35i,732
BMW,X6 M,Base,208
BMW,X7,40i,986
BMW,Z3,Base,199
BMW,Z4,Base,234
BMW,Z8,Base,28
BMW,i3,Base,488
BMW,i8,Base,182
Bentley,300,Touring,1
Bentley,Arnage,Base,27
Bentley,Azure,Base,28
Bentley,Bentayga,Base,304
Bentley,Bentley Eight,Base,1
Bentley,Brooklands,Base,9
Bentley,Continental,R,4
Bentley,Continental Flying Spur,Base,120
Bentley,Continental GT,Base,500
Bentley,Continental GTC,Base,266
Bentley,Continental Supersports,Base,25
Bentley,Flying Spur,Base,225
Bentley,Mulsanne,Base,59
Bentley,Turbo,Turbo,6
Bentley,Turbo R,Turbo R,1
Bugatti,Veyron,3,1
Bugatti,Veyron,Base,1
Buick,Cascada,Premium,325
Buick,Century,Custom,160
Buick,Convertible,Base,4
Buick,Coupe,Base,5
Buick,Enclave,Leather,2187
Buick,Encore,Preferred,5290
Buick,Encore GX,Select,488
Buick,Envision,Essence,1714
Buick,Gransport,Custom,1
Buick,IS,2,1
Buick,LaCrosse,Leather,834
Buick,LeSabre,Custom,319
Buick,Lucerne,CXL,680
Buick,Park Avenue,Base,91
Buick,Rainier,CXL,82
Buick,Reatta,Base,8
Buick,Regal,CXL,284
Buick,Regal Sportback,Essence,94
Buick,Regal TourX,Preferred,72
Buick,Rendezvous,CX,162
Buick,Riviera,Coupe,13
Buick,Roadmaster,Limited,3
Buick,Skylark,CUSTOM,1
Buick,Skylark,Custom,1
Buick,Skylark,Sport,1
Buick,Terraza,CXL,35
Buick,Turbo,Turbo,1
Buick,Verano,1SD,598
Cadillac,ATS,Luxury Collection,792
Cadillac,ATS Coupe,Luxury Collection,77
Cadillac,ATS Sedan,Luxury,330
Cadillac,ATS-V Coupe,V,83
Cadillac,ATS-V Sedan,V,100
Cadillac,Allante,Base,20
Cadillac,Brougham,Base,2
Cadillac,CC,Pro,1
Cadillac,CT,SEDAN,1
Cadillac,CT4,Sport,107
Cadillac,CT5,Premium Luxury,210
Cadillac,CT6,Luxury,581
Cadillac,CTS,3.6,413
Cadillac,CTS Coupe,Performance Collection,115
Cadillac,CTS Sedan,Luxury,987
Cadillac,CTS Sport Sedan,Luxury Collection,116
Cadillac,CTS Sport Wagon,Luxury Collection,6
Cadillac,CTS-V Coupe,V,105
Cadillac,CTS-V Sedan,V,183
Cadillac,CTS-V Sport Sedan,V,45
Cadillac,CTS-V Sport Wagon,V,10
Cadillac,California,SPECIAL,1
Cadillac,Catera,Base,11
Cadillac,Convertible,Coupe,13
Cadillac,Coupe,Base,1
Cadillac,Coupe,Coupe,1
Cadillac,DTS,Luxury,159
Cadillac,DeVille,Base,278
Cadillac,Deville,Sedan,3
Cadillac,ELR,Base,51
Cadillac,Eldorado,Base,32
Cadillac,Escalade,Luxury,2876
Cadillac,Escalade ESV,Luxury,1257
Cadillac,Escalade EXT,Base,230
Cadillac,Fleetwood,Base,4
Cadillac,Krystal Koach,Base FWD,1
Cadillac,Krystal Koach,SPECIAL,1
Cadillac,Regency,Professional,1
Cadillac,SRX,Luxury Collection,1980
Cadillac,STS,Base,247
Cadillac,Seville,SLS,46
Cadillac,Taos,VAN,1
Cadillac,XLR,Base,147
Cadillac,XT4,Premium Luxury,1015
Cadillac,XT5,Luxury,3466
Cadillac,XT6,Premium Luxury,910
Cadillac,XTS,Luxury Collection,767
Chevrolet,1500,10 Series,1
Chevrolet,3500 LCF Gas,2WD Crew Cab 176,1
Chevrolet,Astro,Base,55
Chevrolet,Astro Cargo,Base,60
Chevrolet,Astro Passenger,Base,2
Chevrolet,Avalanche,Base,667
Chevrolet,Aveo,LS,99
Chevrolet,Aveo5,1LS,68
Chevrolet,B-Series,C,1
Chevrolet,Beretta,Base,1
Chevrolet,Blazer,2LT,1830
Chevrolet,Bolt EUV,Premier,144
Chevrolet,Bolt EV,LT,315
Chevrolet,C/K 10,Regular Cab 2WD,3
Chevrolet,C/K 10,Regular Cab 4WD,3
Chevrolet,C/K 1500,C,8
Chevrolet,C/K 1500 Series,454SS,5
Chevrolet,C/K 2500,C,2
Chevrolet,C/K 3500,Ext. Cab 4WD,1
Chevrolet,C/K 3500,Reg. Cab 4WD,1
Chevrolet,C/K3500 Classic,Base,1
Chevrolet,C1500,CHEYENNE,44
Chevrolet,C2500,CHEYENNE,12
Chevrolet,C30,C,1
Chevrolet,C3500,BASE,25
Chevrolet,C4500,4,1
Chevrolet,C4500,C4500,1
Chevrolet,C5U042,C5U042,1
Chevrolet,C70,Commercial,2
Chevrolet,Caliber,R/T,1
Chevrolet,Camaro,1LT,5046
Chevrolet,Caprice,Base,1
Chevrolet,Caprice,Classic Brougham,1
Chevrolet,Caprice,Police,1
Chevrolet,Caprice,Sedan 4D Police,1
Chevrolet,Caprice Classic,SA,5
Chevrolet,Caprice Wagon,Classic,1
Chevrolet,Captiva Sport,LT,309
Chevrolet,Cavalier,Base,147
Chevrolet,Chevy Van,VAN,5
Chevrolet,City Express,1LT,256
Chevrolet,Classic,Base,76
Chevrolet,Cobalt,LT,602
Chevrolet,Colorado,LT,4283
Chevrolet,Convertible,CONVERTIBLE,44
Chevrolet,Corsica,Base,1
Chevrolet,Corsica,LT,1
Chevrolet,Corvette,Base,3561
Chevrolet,Coupe,2,1
Chevrolet,Coupe,Club,1
Chevrolet,Cruze,LT,5075
Chevrolet,Cruze Limited,1LT,867
Chevrolet,D30,Military Postal Unit,1
Chevrolet,El Camino,Base,1
Chevrolet,El Camino,Regular Cab 2WD,1
Chevrolet,El Camino,eL,1
Chevrolet,Equinox,LT,23748
Chevrolet,Escape,C,1
Chevrolet,Explorer,Express,28
Chevrolet,Express,LS,276
Chevrolet,Express Cargo,Work Van,3138
Chevrolet,Express Cutaway,Base,245
Chevrolet,Express Passenger,LS,478
Chevrolet,Flex,Police,3
Chevrolet,Fusion,2,1
Chevrolet,G,VAN,4
Chevrolet,G20,VAN,7
Chevrolet,HHR,LT,610
Chevrolet,Impala,1LT,3335
Chevrolet,Impala Limited,2FL,302
Chevrolet,Impala SS,Base,3
Chevrolet,Jimmy,SLS,1
Chevrolet,K1500,CHEYENNE,61
Chevrolet,K2500,CHEYENNE,27
Chevrolet,K3500,CHEYENNE,18
Chevrolet,LS,C,3
Chevrolet,LS,LS,3
Chevrolet,Low Cab Forward,Base,35
Chevrolet,Lumina,Base,24
Chevrolet,Malibu,1LT,14599
Chevrolet,Malibu Classic,LS,24
Chevrolet,Malibu Limited,1LT,419
Chevrolet,Malibu Maxx,LT,67
Chevrolet,Metro,BASE,1
Chevrolet,Monte Carlo,SS,229
Chevrolet,P30,P30,1
Chevrolet,Prizm,Base,18
Chevrolet,R10,Regular Cab 2WD,3
Chevrolet,Raider,C,1
Chevrolet,Ranger,XL,1
Chevrolet,S-10,LS,249
Chevrolet,S10,Regular Cab 2WD,1
Chevrolet,S10,eL,1
Chevrolet,S10 Pickup,Reg. Cab Short Bed 2WD,1
Chevrolet,S10 Pickup,S10 Pickup,1
Chevrolet,SILVERADO 4WD,K2500 DIESEL,1
Chevrolet,SS,Base,266
Chevrolet,SSR,LS,228
Chevrolet,Sierra 1500,2,1
Chevrolet,Silverado,LS,274
Chevrolet,Silverado 1500,LT,36266
Chevrolet,Silverado 1500 LD,LT,1237
Chevrolet,Silverado 1500 Limited,Custom,138
Chevrolet,Silverado 1500HD,LS,66
Chevrolet,Silverado 2500,Custom,8
Chevrolet,Silverado 2500HD,LT,4252
Chevrolet,Silverado 3500,LT,104
Chevrolet,Silverado 3500 Chassis Cab,Work Truck,549
Chevrolet,Silverado 3500HD,LTZ,1495
Chevrolet,Silverado 4500 Medium Duty Chassis Cab,Work Truck,103
Chevrolet,Silverado Classic 1500,Work Truck,75
Chevrolet,Silverado Classic 1500HD,LT3,4
Chevrolet,Silverado Classic 2500HD,LT3,45
Chevrolet,Silverado Classic 3500,LS,9
Chevrolet,Silverado Classic 3500 Chassis Cab,Work Truck,10
Chevrolet,Sonic,LT,2210
Chevrolet,Soul,Base,1
Chevrolet,Spark,LS,1813
Chevrolet,Suburban,LT,6147
Chevrolet,Tacoma,V6,1
Chevrolet,Tahoe,LT,10729
Chevrolet,Terrain,C,1
Chevrolet,Tracker,Base,67
Chevrolet,TrailBlazer,LS,852
Chevrolet,Trailblazer,LT,418
Chevrolet,Traverse,1LT,8063
Chevrolet,Trax,LT,5925
Chevrolet,Truck,Commercial,44
Chevrolet,Uplander,LS,127
Chevrolet,V10,Regular Cab 4WD,2
Chevrolet,Venture,Base,34
Chevrolet,Venture Cargo,Base,1
Chevrolet,Volt,LT,663
Chevrolet,cube,VAN,3
Chevrolet,iA,10 Series,1
Chrysler,200,Limited,3464
Chrysler,300,S,2806
Chrysler,300M,Base,53
Chrysler,Aspen,Limited,164
Chrysler,Cirrus,LXI,10
Chrysler,Classic,SEDAN,1
Chrysler,Concorde,LX,25
Chrysler,Convertible,BY,5
Chrysler,Convertible,GTC,5
Chrysler,Crossfire,Limited,209
Chrysler,Grand Voyager,SE,3
Chrysler,Imperial,Base,3
Chrysler,LHS,Base,9
Chrysler,LX,LX,1
Chrysler,Le Baron,Base,1
Chrysler,Le Baron,Landau,1
Chrysler,LeBaron,GTC,2
Chrysler,PT Cruiser,Base,397
Chrysler,Pacifica,Touring L,3760
Chrysler,Pacifica Hybrid,Limited,362
Chrysler,Prowler,Base,38
Chrysler,Sebring,Touring,355
Chrysler,TC,BY,3
Chrysler,TC By Maserati,Convertible,1
Chrysler,Town & Country,Touring,3624
Chrysler,Voyager,LXI,1145
Chrysler,XE,XT,1
Chrysler,tC,BY,6
Daewoo,Leganza,CDX,3
Daewoo,Nubira,CDX AT Sedan,2
Datsun,280ZX,Base,2
Dodge,Avenger,SE,1129
Dodge,Caliber,SXT,285
Dodge,California,250,1
Dodge,Caravan,SE,97
Dodge,Challenger,R/T,5588
Dodge,Charger,SXT,6268
Dodge,Classic,SLT,1
Dodge,Colt,Base,1
Dodge,Convertible,RT,4
Dodge,Coupe,Daytona,1
Dodge,D150,P,1
Dodge,D250,Reg. Cab 8-Ft. Bed 2WD,1
Dodge,D350,2WD,1
Dodge,D350,350,1
Dodge,D350,Reg. Cab 8-Ft. Bed 2WD,1
Dodge,D50,Custom 2WD,1
Dodge,Dakota,SLT,529
Dodge,Dart,SXT,1467
Dodge,Daytona,Turbo Z,1
Dodge,Durango,GT,3032
Dodge,ES,ES,3
Dodge,Grand Caravan,SXT,8531
Dodge,Intrepid,ES,22
Dodge,Journey,SE,4601
Dodge,Lancer,Base,1
Dodge,Lancer,ES,1
Dodge,Magnum,SXT,93
Dodge,Neon,SXT,73
Dodge,Nitro,SXT,227
Dodge,Omni,Base,2
Dodge,Raider,Base,1
Dodge,Ram,Speed,1
Dodge,Ram 150,LE,1
Dodge,Ram 1500,WS Reg. Cab 6.5-Ft. Bed 2WD,1
Dodge,Ram 1500 Classic,SLT,2
Dodge,Ram 1500 Pickup,SLT,1587
Dodge,Ram 250,Reg. Cab 8-Ft. Bed 4WD,1
Dodge,Ram 2500,Ram 2500,2
Dodge,Ram 2500 Pickup,SLT,653
Dodge,Ram 3500,ST Club Cab 8-Ft. Bed 4WD,2
Dodge,Ram 3500 Chassis Cab,ST,19
Dodge,Ram 3500 Pickup,SLT,281
Dodge,Ram 4500 Chassis Cab,ST,7
Dodge,Ram 5500,Regular Cab 4WD,1
Dodge,Ram 5500 Chassis Cab,Tradesman,1
Dodge,Ram Pickup,ST,367
Dodge,Ram Pickup 3500,SLT,1
Dodge,Ram Pickup 3500,ST,1
Dodge,Ram SRT-10,Base,101
Dodge,Ram Van,Base,47
Dodge,Ram Wagon,Base,20
Dodge,Rampage,Base,2
Dodge,Roadster,RT,1
Dodge,SRT Viper,GTS,1
Dodge,SX,Base,1
Dodge,Shadow,ES,1
Dodge,Shelby Charger,Base,1
Dodge,Spirit,Base,1
Dodge,Sprinter Cab Chassis,Super,1
Dodge,Sprinter Van,Base,132
Dodge,Sprinter Wagon,Base,14
Dodge,Stealth,Base,1
Dodge,Stealth,HATCHBACK,1
Dodge,Stealth,R/T,1
Dodge,Stratus,SXT,66
Dodge,TT,L,1
Dodge,Truck,ST,12
Dodge,Turbo,Turbo,3
Dodge,Viper,SRT-10,111
Dodge,W250,Reg. Cab 8-Ft. Bed 4WD,1
Eagle,Classic,Harley-Davidson,1
Eagle,ES,Premier,1
Eagle,Golf,200,2
Eagle,SX,4,1
Eagle,Talon,TSI AWD,2
FIAT,124 Spider,Classica,205
FIAT,500,Pop,751
FIAT,500L,Trekking,179
FIAT,500X,Trekking,177
FIAT,500c,Pop,40
FIAT,500e,Battery Electric,311
FIAT,Convertible,Spider,1
FIAT,Spider 124,Base,1
Ferrari,308,GTS Quattrovalvole,2
Ferrari,328,GTS,4
Ferrari,348,Spider,2
Ferrari,348,TS,2
Ferrari,360,Base,109
Ferrari,360 Modena,Modena,3
Ferrari,456,GT,1
Ferrari,456M,GTA,5
Ferrari,458 Italia,Base,75
Ferrari,458 Speciale,Base,13
Ferrari,458 Speciale A,Base,5
Ferrari,458 Spider,Base,81
Ferrari,488,Pista,47
Ferrari,488 GTB,Base,81
Ferrari,488 GTC4Lusso,Base,2
Ferrari,488 Pista,Base,13
Ferrari,488 Spider,Base,70
Ferrari,500,GTS,1
Ferrari,512 TR,Base,3
Ferrari,550 Maranello,Base,15
Ferrari,575M Maranello,Base,18
Ferrari,599,Base,37
Ferrari,612,Base,26
Ferrari,812,Base,44
Ferrari,900,GTS,1
Ferrari,Cabriolet,T,3
Ferrari,California,Base,169
Ferrari,California T,Base,99
Ferrari,Convertible,Spider,37
Ferrari,Coupe,Base,5
